"view_name";"column_order";"column_name";"data_type";"is_nullable"
"vw_premissas_gerais";"24";"valor_original";"text";"YES"
"vw_premissas_gerais";"25";"row_excel";"int";"YES"
"vw_premissas_gerais";"26";"linha_original";"text";"YES"
"vw_stok_objetivo_compra";"1";"formulario_id";"bigint";"NO"
"vw_stok_objetivo_compra";"2";"importacao_id";"bigint";"NO"
"vw_stok_objetivo_compra";"3";"arquivo_nome";"varchar";"NO"
"vw_stok_objetivo_compra";"4";"processado_em";"datetime";"NO"
"vw_stok_objetivo_compra";"5";"total_abas";"int";"YES"
"vw_stok_objetivo_compra";"6";"aba_origem";"varchar";"NO"
"vw_stok_objetivo_compra";"7";"formulario_index";"int";"NO"
"vw_stok_objetivo_compra";"8";"cliente";"varchar";"YES"
"vw_stok_objetivo_compra";"9";"titulo_plano";"varchar";"YES"
"vw_stok_objetivo_compra";"10";"numero_acordo";"varchar";"YES"
"vw_stok_objetivo_compra";"11";"periodo_original";"varchar";"YES"
"vw_stok_objetivo_compra";"12";"periodo_inicio";"varchar";"YES"
"vw_stok_objetivo_compra";"13";"periodo_fim";"varchar";"YES"
"vw_stok_objetivo_compra";"14";"periodo_normalizado";"varchar";"YES"
"vw_stok_objetivo_compra";"15";"periodo_status";"varchar";"YES"
"vw_stok_objetivo_compra";"16";"periodo_acoes_original";"varchar";"YES"
"vw_stok_objetivo_compra";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_stok_objetivo_compra";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_stok_objetivo_compra";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_stok_objetivo_compra";"20";"periodo_acoes_status";"varchar";"YES"
"vw_stok_objetivo_compra";"21";"stok_objetivo_compra_id";"bigint";"NO"
"vw_stok_objetivo_compra";"22";"linha_ordem";"int";"YES"
"vw_stok_objetivo_compra";"23";"produto";"varchar";"YES"
"vw_stok_objetivo_compra";"24";"embalagem";"varchar";"YES"
"vw_stok_objetivo_compra";"25";"janeiro_junho";"varchar";"YES"
"vw_stok_objetivo_compra";"26";"julho_dezembro";"varchar";"YES"
"vw_stok_objetivo_compra";"27";"periodo";"varchar";"YES"
"vw_stok_objetivo_compra";"28";"atingimento";"varchar";"YES"
"vw_stok_objetivo_compra";"29";"investimento_percentual";"varchar";"YES"
"vw_stok_objetivo_compra";"30";"investimento_percentual_numerico";"decimal";"YES"
"vw_stok_objetivo_compra";"31";"row_excel";"int";"YES"
"vw_stok_objetivo_compra";"32";"linha_original";"text";"YES"
